DTG,SSH,SST,Temp,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed,Niue
3/01/2020 17:00,NAN,NAN,NAN,1009.6,-0.091,-0.135,127,2.7,1.5,
3/01/2020 18:00,NAN,NAN,NAN,1010,-0.095,-0.131,122,2.8,1.6,
3/01/2020 19:00,NAN,NAN,NAN,1010.4,-0.089,-0.121,102,3.5,1.1,
3/01/2020 20:00,NAN,NAN,NAN,1010.5,-0.092,-0.12,101,5,1,
3/01/2020 21:00,NAN,NAN,NAN,1010.3,-0.069,-0.096,28,5.4,2.2,
3/01/2020 22:00,NAN,NAN,NAN,1010.1,-0.07,-0.099,77,5,1.5,
3/01/2020 23:00,NAN,NAN,NAN,1009.7,-0.076,-0.108,7,4.7,1.9,
4/01/2020 0:00,NAN,NAN,NAN,1009.6,-0.045,-0.081,78,4.2,1.3,
4/01/2020 1:00,NAN,NAN,NAN,1009.6,-0.019,-0.055,160,4.6,0.6,
4/01/2020 2:00,NAN,NAN,NAN,1009.4,-0.047,-0.084,218,2.7,1.2,
4/01/2020 3:00,NAN,NAN,NAN,1009.6,-0.046,-0.084,167,3,1.9,
4/01/2020 4:00,NAN,NAN,NAN,1009.9,-0.044,-0.08,154,4.7,2.3,
4/01/2020 5:00,NAN,NAN,NAN,1010.5,-0.061,-0.094,148,4.3,1.7,
4/01/2020 6:00,NAN,NAN,NAN,1011.2,-0.069,-0.096,100,3.4,0.3,
4/01/2020 7:00,NAN,NAN,NAN,1012,-0.054,-0.073,91,1.4,0.4,
4/01/2020 8:00,NAN,NAN,NAN,1012.4,-0.067,-0.079,90,3,0.7,
4/01/2020 9:00,NAN,NAN,NAN,1012.9,-0.093,-0.101,100,2.3,0.7,
4/01/2020 10:00,NAN,NAN,NAN,1012.9,-0.1,-0.104,81,2.2,1,
4/01/2020 11:00,NAN,NAN,NAN,1012.3,-0.08,-0.084,87,2.6,0.9,
4/01/2020 12:00,NAN,NAN,NAN,1011.5,-0.072,-0.083,88,3.3,0.9,
4/01/2020 13:00,NAN,NAN,NAN,1011,-0.095,-0.113,110,3.3,1.9,
4/01/2020 14:00,NAN,NAN,NAN,1010.6,-0.107,-0.13,100,3.5,1.3,
4/01/2020 15:00,NAN,NAN,NAN,1010.7,-0.105,-0.131,98,3.2,1.4,
4/01/2020 16:00,NAN,NAN,NAN,1011,-0.109,-0.134,96,3,1.3,
4/01/2020 17:00,NAN,NAN,NAN,1011.7,-0.105,-0.127,107,3.4,1.5,
4/01/2020 18:00,NAN,NAN,NAN,1012.3,-0.098,-0.112,90,3.2,1.2,
4/01/2020 19:00,NAN,NAN,NAN,1012.5,-0.095,-0.104,88,3.6,1.2,
4/01/2020 20:00,NAN,NAN,NAN,1012.5,-0.092,-0.099,60,5.6,1.2,
4/01/2020 21:00,NAN,NAN,NAN,1012.6,-0.088,-0.095,92,5,2.2,
4/01/2020 22:00,NAN,NAN,NAN,1012.6,-0.088,-0.094,88,5.4,1.3,
4/01/2020 23:00,NAN,NAN,NAN,1012.5,-0.082,-0.089,101,4.7,1.7,
5/01/2020 0:00,NAN,NAN,NAN,1012.3,-0.06,-0.067,96,6.2,2.2,
5/01/2020 1:00,NAN,NAN,NAN,1011.8,-0.052,-0.062,114,6.2,2.4,
5/01/2020 2:00,NAN,NAN,NAN,1011.5,-0.067,-0.082,108,5.8,2.5,
5/01/2020 3:00,NAN,NAN,NAN,1011.4,-0.068,-0.085,116,6.7,1.8,
5/01/2020 4:00,NAN,NAN,NAN,1011.6,-0.068,-0.086,133,6.8,2.1,
5/01/2020 5:00,NAN,NAN,NAN,1012,-0.065,-0.081,93,5.2,1,
5/01/2020 6:00,NAN,NAN,NAN,1012.6,-0.062,-0.074,105,3.8,0.7,
5/01/2020 7:00,NAN,NAN,NAN,1013.2,-0.067,-0.072,158,1.2,0.2,
5/01/2020 8:00,NAN,NAN,NAN,1013.2,-0.055,-0.055,138,1.3,0.7,
5/01/2020 9:00,NAN,NAN,NAN,1013.3,-0.059,-0.059,140,2.1,0.8,
5/01/2020 10:00,NAN,NAN,NAN,1013.2,-0.05,-0.049,123,2,0.9,
5/01/2020 11:00,NAN,NAN,NAN,1012.6,-0.068,-0.069,117,2.4,1.1,
5/01/2020 12:00,NAN,NAN,NAN,1012,-0.062,-0.069,145,2.7,1.1,
5/01/2020 13:00,NAN,NAN,NAN,1011.4,-0.057,-0.07,142,2.2,1,
5/01/2020 14:00,NAN,NAN,NAN,1011.2,-0.059,-0.078,170,2,0.8,
5/01/2020 15:00,NAN,NAN,NAN,1011.1,-0.061,-0.081,171,2.2,0.5,
5/01/2020 16:00,NAN,NAN,NAN,1011.3,-0.068,-0.089,183,2.6,0.9,
5/01/2020 17:00,NAN,NAN,NAN,1011.7,-0.072,-0.091,151,3.4,1.5,
5/01/2020 18:00,NAN,NAN,NAN,1012.2,-0.073,-0.088,144,3.2,1.6,
5/01/2020 19:00,NAN,NAN,NAN,1012.4,-0.072,-0.082,138,4.8,2.8,
5/01/2020 20:00,NAN,NAN,NAN,1012.2,-0.083,-0.092,103,6.6,1.9,
5/01/2020 21:00,NAN,NAN,NAN,1012,-0.061,-0.072,114,7.5,2.1,
5/01/2020 22:00,NAN,NAN,NAN,1011.7,-0.056,-0.068,107,6.8,2.8,
5/01/2020 23:00,NAN,NAN,NAN,1011.1,-0.07,-0.086,89,6.3,2.2,
6/01/2020 0:00,NAN,NAN,NAN,1010.8,-0.08,-0.102,127,5.5,1.8,
6/01/2020 1:00,NAN,NAN,NAN,1010.5,-0.069,-0.094,79,5.4,1.3,
6/01/2020 2:00,NAN,NAN,NAN,1009.9,-0.067,-0.095,164,4.1,1.4,
6/01/2020 3:00,NAN,NAN,NAN,1009.7,-0.088,-0.122,131,6.1,1.5,
6/01/2020 4:00,NAN,NAN,NAN,1009.8,-0.102,-0.137,127,4.4,1.1,
6/01/2020 5:00,NAN,NAN,NAN,1010.3,-0.11,-0.144,127,5.3,1.7,
6/01/2020 6:00,NAN,NAN,NAN,1011.2,-0.107,-0.135,73,3,0.4,
6/01/2020 7:00,NAN,NAN,NAN,1011.7,-0.093,-0.113,118,4.2,1.6,
6/01/2020 8:00,NAN,NAN,NAN,1012.1,-0.073,-0.088,133,3.4,1.4,
6/01/2020 9:00,NAN,NAN,NAN,1012.4,-0.077,-0.089,117,2.9,1.5,
6/01/2020 10:00,NAN,NAN,NAN,1012.5,-0.053,-0.061,125,3.4,1.3,
6/01/2020 11:00,NAN,NAN,NAN,1012.2,-0.044,-0.052,129,3.4,2,
6/01/2020 12:00,NAN,NAN,NAN,1011.5,-0.056,-0.067,116,3.3,1,
6/01/2020 13:00,NAN,NAN,NAN,1011,-0.045,-0.063,141,2.4,1.1,
6/01/2020 14:00,NAN,NAN,NAN,1010.6,-0.044,-0.067,104,3.1,0.8,
6/01/2020 15:00,NAN,NAN,NAN,1010,-0.053,-0.08,138,2.6,1.7,
6/01/2020 16:00,NAN,NAN,NAN,1010.7,-0.057,-0.088,86,3.9,0.9,
6/01/2020 17:00,NAN,NAN,NAN,1010.7,-0.065,-0.091,97,2.9,1.3,
6/01/2020 18:00,NAN,NAN,NAN,1011.4,-0.072,-0.096,86,3.4,1.2,
6/01/2020 19:00,NAN,NAN,NAN,1011.5,-0.065,-0.083,142,2.9,0.7,
6/01/2020 20:00,NAN,NAN,NAN,1011.6,-0.063,-0.08,266,2.7,0.9,
6/01/2020 21:00,NAN,NAN,NAN,1011.3,-0.055,-0.071,306,1.5,1.2,
6/01/2020 22:00,NAN,NAN,NAN,1011,-0.036,-0.055,332,4.5,3.7,
6/01/2020 23:00,NAN,NAN,NAN,1010.8,-0.047,-0.07,323,4.6,3.6,
7/01/2020 0:00,NAN,NAN,NAN,1010.4,-0.065,-0.09,311,4.8,2,
7/01/2020 1:00,NAN,NAN,NAN,1009.7,-0.056,-0.085,3,4.5,1.1,
7/01/2020 2:00,NAN,NAN,NAN,1009.2,-0.043,-0.079,206,4.4,1.6,
